,northwester_nmutual
0,11516
1,10022
2,23233
3,33487
4,91436
5,98660
6,06902
7,80111
8,06107
9,02108
10,55435
11,63141
12,53202
13,15146
14,60123
15,33180
16,55120
17,32308
18,50701
19,55120
20,68114
21,72703
22,55402
23,45440
24,80222
25,83402
26,46204
27,52401
28,53562
29,53207
30,12110
31,70816
32,48084
33,72703
34,60515
35,65201
36,80903
37,58501
38,62656
39,98004
40,52001
41,14534
42,43623
43,69001
44,85297
45,66211
46,92505
47,92008
48,15219
49,29464
50,33701
51,35244
52,94065
53,44113
54,28677
55,06854
56,35242
57,75254
58,53546
59,53562
60,33701
61,80111
62,54115
63,90071
64,80111
65,93309
66,10167
67,06103
68,02908
69,79912
70,92101
71,10606
72,34232
73,60523
74,33432
75,10606
76,33701
77,90405
78,43556
79,79912
80,54913
81,46077
82,06880
83,70816
84,60148
85,75240
86,33637
87,61820
88,32801
89,32789
90,49503
91,98402
92,72405
93,33701
94,06103
95,49002
96,23462
97,60077
98,60607
99,30326
100,52241
101,30326
102,80222
103,75225
104,75034
105,30907
106,97201
107,53202
108,92037
109,48604
110,77845
111,59401
112,07701
113,60563
114,80202
115,60606
116,32202
117,97401
118,50266
119,06824
120,80401
121,80903
122,47715
123,53562
124,46545
125,48108
126,33134
127,15219
128,58201
129,90071
130,75703
131,33928
132,14534
133,24016
134,35244
135,48084
136,23233
137,80112
138,63105
139,63105
140,90071
141,10167
142,10017
143,33134
144,95129
145,32801
146,48236
147,02908
148,12550
149,98901
150,06880
151,90071
152,15146
153,53562
154,45440
155,77056
156,48084
157,76102
158,06854
159,89501
160,10606
161,30326
162,30327
163,75240
164,75240
165,15146
166,43623
167,83814
168,37922
169,46802
170,46077
171,77056
172,34232
173,14221
174,79106
175,25801
176,60606
177,92037
178,15146
179,83702
180,41701
181,32202
182,45209
183,71101
184,10022
185,31210
186,50266
187,23233
188,92008
189,08054
190,10167
191,08054
192,80111
193,48858
194,06405
195,28405
196,60607
197,60607
198,02420
199,77056
200,06824
201,12601
202,63141
203,61761
204,75165
205,53202
206,29601
207,19103
208,57701
209,55402
210,66211
211,32801
212,60515
213,35901
214,63005
215,59715
216,53224
217,32308
218,62901
219,37922
220,33432
221,21740
222,56501
223,35242
224,02108
225,53202
226,84111
227,08801
228,94111
229,60173
230,94111
231,26501
232,28211
233,72211
234,45840
235,40222
236,13057
237,46240
238,90025
239,33432
240,90071
241,14221
242,53202
243,55115
244,40222
245,48933
246,06103
247,06103
248,01103
249,53022
250,60515
251,90071
252,29601
253,94596
254,32541
255,38305
256,75075
257,12601
258,24060
259,12110
260,45840
261,10022
262,32801
263,33549
264,53092
265,61761
266,70005
267,70816
268,33607
269,45371
270,06854
271,55402
272,58501
273,77056
274,58501
275,55120
276,55120
277,02108
278,10004
279,23462
280,29601
281,28405
282,07960
283,31027
284,29464
285,63105
286,46077
287,53202
288,52401
289,54650
290,75703
291,75703
292,37922
293,43212
294,16046
295,53202
296,53202
297,30601
298,73118
299,15219
300,83709
301,23185
302,84604
303,78257
304,58702
305,55402
306,16046
307,66211
308,12110
309,10167
310,50501
311,83835
312,68164
313,16046
314,30092
315,43212
316,19380
317,90025
318,29201
319,90405
320,70508
321,11747
322,61761
323,92612
324,53202
325,32605
326,01103
327,72405
328,10167
329,60018
330,90025
331,97035
332,53202
333,21030
334,92660
335,95926
336,75001
337,03101
338,95661
339,49503
340,33131
341,33432
342,75240
343,37450
344,06854
345,56701
346,97301
347,18034
348,23462
349,12601
350,47715
351,77381
352,60148
353,08801
354,19103
355,50023
356,46077
357,32308
358,10022
359,55042
360,30309
361,53202
362,70005
363,70458
364,87113
365,54913
366,06511
367,06511
368,58501
369,03431
370,55391
371,05201
372,27103
373,92101
374,32502
375,33432
376,87113
377,55902
378,66614
379,07727
380,43617
381,27607
382,27607
383,90071
384,10167
385,74103
386,63005
387,62704
388,43623
389,38138
390,72211
391,90025
392,56425
393,95240
394,18507
395,45209
396,45209
397,48084
398,33134
399,80202
400,68164
401,07727
402,63141
403,60606
404,41017
405,89503
406,66061
407,28405
408,54913
409,50669
410,28211
411,44113
412,92037
413,10167
414,73139
415,10022
416,80921
417,72211
418,22401
419,04101
420,76102
421,57006
422,37203
423,75075
424,80112
425,48430
426,53202
427,08540
428,53224
429,03101
430,33607
431,99216
432,40222
433,92612
434,60123
435,22102
436,30326
437,37203
438,33913
439,66211
440,44113
441,23233
442,44116
443,44116
444,44116
445,62208
446,83402
447,10167
448,40361
449,78746
450,55439
451,43212
452,33701
453,76102
454,55402
455,60523
456,70601
457,46240
458,63141
459,19803
460,32801
461,40243
462,17601
463,42104
464,53224
465,14221
466,96813
467,83402
468,92037
469,92037
470,58501
471,60606
472,89169
473,54913
474,33401
475,54409
476,37129
477,55042
478,15220
479,49503
480,80401
481,80525
482,04101
483,03301
484,32320
485,27607
486,70005
487,46802
488,10167
489,52101
490,48084
491,27804
492,80903
493,99216
494,45209
495,56258
496,99216
497,23233
498,15068
499,10167
500,95926
501,19512
502,45840
503,51401
504,72703
505,46545
506,50266
507,55120
508,10022
509,53092
510,80501
511,17050
512,96813
513,20191
514,77056
515,60606
516,55902
517,84111
518,53224
519,83501
520,62704
521,60077
522,24018
523,46256
524,46703
525,62948
526,63141
