,state_farm
0,36310-2420
1,35007-8897
2,35007-3207
3,35950
4,35950
5,35950-1766
6,35442-2246
7,36420-3125
8,36420-2562
9,36421
10,36207-6614
11,36207-4789
12,36201
13,36206-2610
14,36201-4619
15,35016-1063
16,35016-1356
17,35612-1124
18,35612-0856
19,35611-3562
20,35611-4192
21,35613-4413
22,36502-2522
23,35954-3335
24,36830-7714
25,36830
26,36830-6452
27,36830
28,36830-4030
29,36830-5708
30,35020-3246
31,35022-5035
32,35022-6488
33,35022-5279
34,35223-1062
35,35243-3247
36,35242-2302
37,35222
38,35233-3423
39,35242-6318
40,35233
41,35215-7858
42,35242-8105
43,35209-4920
44,35214
45,35243-5221
46,35203-1707
47,35242-4662
48,35235
49,35209-5665
50,35208-3408
51,35235-8617
52,35242
53,35222-2443
54,35205-4807
55,35211-6971
56,35215-6300
57,35215-4056
58,35242-3760
59,35215-8324
60,35205
61,35208-4118
62,35957-1643
63,35957-0803
64,36426
65,36426-2008
66,36010-1810
67,36904-2224
68,35040
69,36726-1714
70,35960-1328
71,35042-2373
72,36518-1149
73,35043-8320
74,35043-8412
75,35044-3012
76,36522
77,35045-2305
78,35045-2142
79,35045-2824
80,35051-5315
81,35962
82,35058-0461
83,35055-5563
84,35055-3940
85,35055-4138
86,35055
87,35055-4224
88,35055
89,36853-1822
90,36526-7260
91,36526
92,35601
93,35601-6512
94,35603-5420
95,35601
96,35601-7343
97,35603-4278
98,35603-2500
99,36732
100,36732
101,35062-1000
102,36303
103,36305-1181
104,36303-2643
105,36303-2931
106,36303-2102
107,36303
108,36301-1161
109,36305
110,36301-3016
111,36301-5085
112,36323-1758
113,36330-2079
114,36330
115,36330-3930
116,36330-3688
117,36072-0688
118,36027-1610
119,36401
120,36532-4423
121,36532
122,36532
123,35555-0067
124,35555-2612
125,35630-1598
126,35630-1003
127,35630-2731
128,35630-2622
129,35630-5602
130,35630-1432
131,35630-7905
132,36535
133,36535-3547
134,35068-1737
135,35901-3301
136,35901-5502
137,35901-5225
138,35901-3327
139,35901-5231
140,35903-1902
141,35071-2796
142,35071-2471
143,35071-2302
144,35071-3782
145,35071-0983
146,36340-2211
147,35905-9500
148,36744-2114
149,36037-3509
150,36037-3772
151,36037-8028
152,35976-1084
153,35976-0130
154,35565-2047
155,35570-0549
156,36344-1646
157,35640-4434
158,35640-2433
159,35640-2821
160,35079
161,35080
162,35080-5002
163,35978-5662
164,35209-2659
165,35209-2556
166,35209-4048
167,35209-6801
168,35209-5157
169,35209-4048
170,35209
171,35209-4111
172,35226-1243
173,35244
174,35244
175,35226-3605
176,35226
177,35244-3515
178,35244-7059
179,35023-2454
180,35023-1667
181,35023
182,35801-5030
183,35801-5632
184,35802-2208
185,35806-2509
186,35802-1684
187,35811
188,35806
189,35811
190,35810-2445
191,35802
192,35801-5129
193,35801-3809
194,35806
195,35803-2126
196,35801-3455
197,35801-2710
198,35805-4064
199,35801-3503
200,35803-2184
201,35801-4249
202,35805-2624
203,35801-6421
204,35806
205,35816-1821
206,35801-6421
207,35801-5348
208,35806
209,36545-2026
210,36545-2226
211,36265-2143
212,35501-8808
213,35502-0439
214,35501-5357
215,35501
216,35502-1545
217,35645
218,36862-0379
219,36863
220,35094
221,35094-7510
222,35094-4818
223,35096-6743
224,36266-0545
225,35470
226,36551-2412
227,36049-7311
228,35758
229,35758
230,35758
231,35756
232,35758-9559
233,35758-1818
234,36054
235,36054-1849
236,36618-4414
237,36619
238,36608-3069
239,36695
240,36606-3502
241,36618
242,36693-4723
243,36695-8972
244,36608-3783
245,36608-3702
246,36609-2936
247,36619-2133
248,36695-4367
249,36609
250,36609-6556
251,36693-5157
252,36695-8974
253,36608-9500
254,36602-1721
255,36695
256,36609-1652
257,36607-3022
258,36608
259,36619-4221
260,36606-3635
261,36608-9656
262,36608
263,36608-3160
264,36695-2825
265,36608-4336
266,36609-1717
267,36695-2634
268,36609
269,36460-5600
270,36460
271,35115-4036
272,36116-1104
273,36117-1608
274,36106-1504
275,36104-4220
276,36106-2651
277,36117-4369
278,36106
279,36106-3615
280,36117-8600
281,36116-1368
282,36116-6750
283,36117
284,36109-3318
285,36117
286,36117-6897
287,36117-4241
288,36117-2163
289,36117-8483
290,36117-2800
291,35004-3152
292,35004-3044
293,35650-1533
294,35650-1132
295,35473-5139
296,35476
297,35120-5966
298,35121-0028
299,35121
300,35121-2506
301,36801-5475
302,36804-9216
303,36801-4389
304,36801-7281
305,36801
306,36467-1843
307,36203-1215
308,36203
309,36203
310,36360-3710
311,36360-4400
312,36360
313,35124-4819
314,35124-1117
315,35124-0098
316,36272
317,35126
318,35126-3200
319,35126
320,36066-5624
321,36066
322,36066-5631
323,36066
324,36066-5562
325,35986-1398
326,35481-8017
327,36274-1435
328,36567
329,36567-1400
330,35652
331,35653-2246
332,35653
333,35653-2803
334,36571-2401
335,36571-2152
336,36571-2812
337,36571-3612
338,35768-1046
339,35768-2004
340,36701-5454
341,36701-4960
342,36703-2846
343,36575-2330
344,36575-7401
345,35660-3861
346,35660-4021
347,35907
348,35146-0247
349,35150-2436
350,35150-2526
351,35150-2162
352,35160-2420
353,35160-2546
354,36078-1302
355,36582-1810
356,36582-1641
357,36582-4137
358,36784-1601
359,36784-1649
360,36081-0871
361,36081-3085
362,35173-1669
363,35173
364,35173
365,35173-1425
366,35401
367,35401-1704
368,35404
369,35406-2206
370,35401-4936
371,35405-6208
372,35406-2291
373,35404-4702
374,35404-5854
375,35405-1908
376,35404-4459
377,35674-4201
378,35674
379,36083-0300
380,36854-2951
381,35592-5030
382,35243
383,35243-2475
384,35180
385,36092
386,36093
387,35594-5436
388,35188-0063
389,99515-4517
390,99501-5440
391,99503-3957
392,99515
393,99507-1282
394,99515-2032
395,99501-3756
396,99503
397,99503-2360
398,99515-3597
399,99501-2527
400,99504-2390
401,99503-5780
402,99508
403,99504-3132
404,99507-1781
405,99507-4249
406,99515-1915
407,99503-2081
408,99507-1067
409,99503-6649
410,99701
411,99701
412,99709-5508
413,99701-4643
414,99709-3564
415,99709
416,99603-7663
417,99801
418,99801-7136
419,99801-1851
420,99611
421,99901-5745
422,99615-6233
423,99645-6319
424,99835
425,99669-7622
426,99654-7018
427,99654
428,99654-7891
429,99654
430,85086
431,85086-0437
432,85392-1224
433,85603-1164
434,85326-5283
435,85326-2709
436,85326-1253
437,85377
438,85248-3762
439,85225-7084
440,85224-4042
441,85249
442,85226-3242
443,85224-6222
444,85224-4307
445,85286
446,85225-4584
447,85249
448,85286-7709
449,85286
450,85225-2926
451,85249-5392
452,85249-5497
453,85225-2401
454,85224-3687
455,85248-5545
456,85128
457,86326-3902
458,86326-4645
459,86327-9502
460,85607
461,85925-9713
462,86004-3739
463,86001-3108
464,86001-2972
465,86001
466,86004-1630
467,86001-4545
468,85234
469,85295-5256
470,85296
471,85298
472,85295-2030
473,85234
474,85233-5141
475,85296
476,85295
477,85296
478,85295
479,85296
480,85297-7314
481,85234
482,85296
483,85296-1164
484,85296-4008
485,85234
